Ticker,Weight (%),Shares
HSBC,15.0,1491.447801732658
BK,15.0,958.1034972377898
RY.TO,15.0,693.7634568665266
LLY,14.64,100.18642260213825
SAN,9.76,6351.9406014155975
AXP,7.22,143.2980683881425
CAT,6.72,82.59333993581707
NFLX,6.67,436.67300856500145
OKLO,5.0,389.75118324145535
SHOP.TO,5.0,227.93368777289749
