Ticker,Shares
EXE.TO,7299.186853784039
BK,957.6151852550885
RY.TO,693.9866970482107
AXP,259.79746216942937
FTG.TO,10184.905186237715
GOOG,227.5832778692706
CCO.TO,403.38385900097865
GCT,964.4983398114432
SHOP,225.56030681396845
AMZN,153.42975194239213
